  8.40000E-01  2.65620E-01  3.03258E-01  9.27452E-01
  8.50000E-01  2.65599E-01  3.03234E-01  9.27322E-01
  8.60000E-01  2.65527E-01  3.03163E-01  9.27082E-01
  8.70000E-01  2.65501E-01  3.03111E-01  9.27004E-01
  8.80000E-01  2.65486E-01  3.02996E-01  9.27202E-01
  8.90000E-01  2.65273E-01  3.02500E-01  9.26480E-01
  9.00000E-01  2.60336E-01  2.94938E-01  9.02811E-01
  9.10000E-01  2.24237E-01  2.39641E-01  7.17897E-01
  9.20000E-01  1.49062E-01  1.30713E-01  2.10797E-01
  9.30000E-01  1.25673E-01  1.00761E-01  5.73760E-03
  9.40000E-01  1.25001E-01  1.00001E-01  7.54572E-06
  9.50000E-01  1.25000E-01  1.00000E-01  0.00000E+00
  9.60000E-01  1.25000E-01  1.00000E-01  0.00000E+00
  9.70000E-01  1.25000E-01  1.00000E-01  0.00000E+00
  9.80000E-01  1.25000E-01  1.00000E-01  0.00000E+00
  9.90000E-01  1.25000E-01  1.00000E-01  0.00000E+00
